iter	Passed	Remaining
831	4856	980
832	4862	974
833	4865	968
834	4866	961
835	4868	955
836	4870	948
837	4880	943
838	4885	937
839	4893	932
840	4895	925
841	4897	919
842	4899	912
843	4901	905
844	4905	899
845	4912	894
846	4917	888
847	4929	883
848	4932	877
849	4938	871
850	4940	865
851	4951	860
852	4953	853
853	4959	847
854	4978	844
855	4983	838
856	4990	832
857	4992	826
858	4993	819
859	4995	813
860	4999	807
861	5012	802
862	5056	802
863	5062	796
864	5064	790
865	5066	783
866	5074	778
867	5077	772
868	5078	765
869	5081	759
870	5084	752
871	5089	747
872	5091	740
873	5093	734
874	5097	728
875	5107	722
876	5120	718
877	5123	711
878	5129	706
879	5134	700
880	5136	693
881	5138	687
882	5151	682
883	5162	677
884	5165	671
885	5170	665
886	5177	659
887	5180	653
888	5182	647
889	5199	642
890	5203	636
891	5220	632
892	5229	626
893	5237	621
894	5239	614
895	5241	608
896	5243	602
897	5249	596
898	5253	590
899	5258	584
900	5262	578
901	5264	571
902	5266	565
903	5268	559
904	5270	553
905	5272	547
906	5295	542
907	5311	538
908	5315	532
909	5323	526
910	5328	520
911	5330	514
912	5342	509
913	5349	503
914	5352	497
915	5362	491
916	5367	485
917	5379	480
918	5390	475
919	5392	468
920	5395	462
921	5419	458
922	5435	453
923	5439	447
924	5444	441
925	5452	435
926	5463	430
927	5469	424
928	5472	418
929	5480	412
930	5483	406
931	5507	401
932	5511	395
933	5516	389
934	5521	383
935	5525	377
936	5527	371
937	5529	365
938	5537	359
939	5540	353
940	5542	347
941	5545	341
942	5547	335
943	5558	329
944	5560	323
945	5569	317
946	5570	311
947	5573	305
948	5576	299
949	5581	293
950	5586	287
951	5588	281
952	5595	275
953	5599	270
954	5601	263
955	5607	258
956	5610	252
957	5614	246
958	5616	240
959	5618	234
960	5626	228
961	5628	222
962	5630	216
963	5637	210
964	5639	204
965	5641	198
966	5643	192
967	5650	186
968	5654	180
969	5656	174
970	5657	168
971	5663	163
972	5672	157
973	5674	151
974	5684	145
975	5686	139
976	5688	133
977	5689	127
978	5692	122
979	5694	116
980	5695	110
981	5703	104
982	5711	98
983	5717	92
984	5721	87
985	5722	81
986	5724	75
987	5728	69
988	5730	63
989	5733	57
990	5735	52
991	5737	46
992	5738	40
993	5739	34
994	5741	28
995	5743	23
996	5744	17
997	5745	11
998	5748	5
999	5751	0
